,decay,reward,training_time
0,0.001,35.12861009581285,853.0705552101135
1,0.006,38.2834199185742,786.4379377365112
2,0.011,35.04543678049754,576.9198200702667
3,0.016,40.54547456617479,559.6143834590912
4,0.021,40.49990493735328,565.1858417987823
5,0.026000000000000002,25.061025993261588,607.7476108074188
6,0.031,36.97521430557163,617.3340196609497
7,0.036000000000000004,41.413268845077795,585.3984911441803
8,0.041,37.98676256663755,545.5199971199036
9,0.046,39.279366027588125,544.7233560085297
